ID,turn,coil thick,coil width,coil legth,lenth oof wire,core width,core height,gap length,gap number,width,height,kengthh,core weight,total weighht,磁路長(mm),LRコア間隔(mm),サイドコア間隔(mm),ｺｲﾙ内側幅(mm),ｺｲﾙ内側高(mm),最大電流,最小電流,最大B,最小B,鉄損(w),直流銅損(w),交流銅損(w),tota loss,peak currneet,min ccurrent,peak flux,min flux,peak core loss,peak cu loss,Ac culoss,peak loss,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400
2676457,46,\,9,59.375,8390.4,20,42,1.4,8,46.425,65.725,105.595,1.481180131,2.998437139,246.6218531,26.3,65.595,25.6,47.6,101,7,0.520472138,3.60E-02,19.7222664,32.47916054,8.201470693,60.40289763,376,160,1.620560261,0.824615958,51.65685296,646.9211671,43.30554738,741.8835674,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.98E-04,1.78E-04,1.52E-04,1.40E-04,1.26E-04,1.19E-04,1.08E-04,9.70E-05,8.35E-05,6.85E-05,4.62E-05
1993143,48,2.25,9,61.75,8371.2,22,36,1.4,8,48.425,59.725,111.97,1.461991004,2.975776028,257.6550384,26.3,67.97,27.6,41.6,100,8,0.53769133,4.29E-02,20.274474,32.40483752,7.838207154,60.51751867,390,160,1.665893444,0.860419711,52.18231817,645.4407983,48.98879471,746.6119111,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.03E-04,1.95E-04,1.72E-04,1.46E-04,1.34E-04,1.28E-04,1.13E-04,9.94E-05,9.15E-05,8.35E-05,6.82E-05,4.57E-05
1653213,48,2.25,9,61.75,8275.2,24,33,1.4,8,50.425,56.725,115.97,1.499263362,2.995688466,263.9382237,26.3,67.97,29.6,38.6,100,8,0.537669244,4.29E-02,20.78991929,32.03322241,7.748319457,60.57146116,392,160,1.665826472,0.860387266,53.50820278,638.0389542,49.27286702,740.820024,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.03E-04,1.95E-04,1.71E-04,1.45E-04,1.34E-04,1.26E-04,1.12E-04,9.81E-05,9.02E-05,8.22E-05,6.71E-05,4.49E-05
1652504,48,2.5,8,68.25,8083.2,24,33,1.4,8,48.425,54.725,122.47,1.552652082,2.996311602,272.9382237,24.3,74.47,29.6,38.6,100,8,0.537637612,4.29E-02,21.52811597,31.68111709,7.663150865,60.87238393,394,159,1.664742255,0.85496241,55.99632866,631.025707,49.9997054,737.0217411,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.03E-04,1.95E-04,1.70E-04,1.43E-04,1.33E-04,1.25E-04,1.10E-04,9.63E-05,8.85E-05,8.05E-05,6.55E-05,4.36E-05
1422143,48,2.25,9,61.75,8179.2,25,31,1.4,8,51.425,54.725,117.97,1.485318364,2.964383548,267.0798163,26.3,67.97,30.6,36.6,101,7,0.543036749,3.75E-02,21.46924292,31.6616073,7.995026351,61.12587657,400,158,1.673973333,0.84961395,55.46128493,630.6371102,52.99012259,739.0885177,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,1.99E-04,1.91E-04,1.67E-04,1.41E-04,1.31E-04,1.23E-04,1.09E-04,9.54E-05,8.77E-05,7.99E-05,6.51E-05,4.35E-05
1309733,48,2.25,9,61.75,8179.2,26,30,1.4,8,52.425,53.725,119.97,1.513254876,2.99232006,270.221409,26.3,67.97,31.6,35.6,101,7,0.543025621,3.75E-02,21.8722754,31.6616073,7.995026351,61.52890905,399,158,1.671548833,0.849597901,56.18349772,630.6371102,52.55309252,739.3737005,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.00E-04,1.92E-04,1.68E-04,1.42E-04,1.31E-04,1.23E-04,1.09E-04,9.54E-05,8.76E-05,7.98E-05,6.50E-05,4.33E-05
1309727,46,2.25,9,59.375,7838.4,26,30,1.4,8,52.425,53.725,117.595,1.485504426,2.902941894,265.471409,26.3,65.595,31.6,35.6,105,3,0.541025475,1.54E-02,23.15521068,30.34237366,9.02154937,62.51913371,398,154,1.649242211,0.793595171,59.6411766,604.360564,51.62504453,715.6267851,1.84E-04,1.85E-04,1.85E-04,1.85E-04,1.85E-04,1.85E-04,1.85E-04,1.85E-04,1.85E-04,1.85E-04,1.84E-04,1.64E-04,1.42E-04,1.27E-04,1.14E-04,1.07E-04,9.65E-05,8.84E-05,8.13E-05,6.04E-05,6.04E-05
2919818,44,2,9,51,8377.6,22,44,1.2,8,48.425,67.725,101.22,1.642596526,2.98921195,236.1550384,26.3,57.22,27.6,49.6,92,16,0.528963494,9.18E-02,17.93213095,36.48331334,6.022165576,60.43760986,383,167,1.681557111,0.960230722,47.30562805,726.6760363,48.64441778,822.6260822,2.44E-04,2.45E-04,2.45E-04,2.45E-04,2.45E-04,2.45E-04,2.45E-04,2.45E-04,2.45E-04,2.43E-04,2.17E-04,1.82E-04,1.60E-04,1.49E-04,1.32E-04,1.15E-04,1.05E-04,9.59E-05,7.80E-05,5.19E-05,0
2804819,44,2.25,8,57,8113.6,22,43,1.2,8,46.425,64.725,107.22,1.661949107,2.966129171,244.1550384,24.3,63.22,27.6,48.6,93,15,0.534682643,8.61E-02,19.07444339,35.33362909,6.143398474,60.55147096,392,165,1.688413614,0.948762892,50.25475556,703.7765814,52.03208086,806.0634178,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.37E-04,2.11E-04,1.76E-04,1.54E-04,1.43E-04,1.26E-04,1.10E-04,1.01E-04,9.17E-05,7.44E-05,4.93E-05,4.93E-05
1197667,48,2,10,55.25,8371.2,27,29,1.4,8,55.425,54.725,115.47,1.484717461,2.979813781,264.3630016,28.3,61.47,32.6,34.6,101,7,0.543046373,3.75E-02,21.46121093,32.80989798,8.284986814,62.55609573,396,159,1.670375838,0.855006451,54.26802381,653.5088082,52.66629972,760.4431318,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.01E-04,1.93E-04,1.69E-04,1.43E-04,1.32E-04,1.25E-04,1.11E-04,9.69E-05,8.91E-05,8.12E-05,6.62E-05,4.43E-05
1196947,46,2.25,9,59.375,7838.4,27,29,1.4,8,53.425,52.725,119.595,1.509642308,2.927079776,268.6130016,26.3,65.595,32.6,34.6,105,3,0.541014379,1.54E-02,23.53056561,30.34237366,9.02154937,62.89448864,398,154,1.647623656,0.793580021,60.38927289,604.360564,51.62504453,716.3748814,1.85E-04,1.86E-04,1.86E-04,1.86E-04,1.86E-04,1.86E-04,1.86E-04,1.86E-04,1.86E-04,1.86E-04,1.84E-04,1.65E-04,1.43E-04,1.27E-04,1.14E-04,1.07E-04,9.63E-05,8.82E-05,8.11E-05,6.92E-05,6.01E-05
1883402,48,2,10,55.25,8563.2,23,35,1.4,8,51.425,60.725,107.47,1.450665357,2.980052877,251.796631,28.3,61.47,28.6,40.6,99,9,0.532332956,4.83E-02,19.28285792,33.56241858,7.769078375,60.61435488,383,161,1.659499593,0.865828931,50.31179797,668.4975424,47.27052576,766.0798661,2.07E-04,2.08E-04,2.08E-04,2.08E-04,2.08E-04,2.08E-04,2.08E-04,2.08E-04,2.08E-04,2.06E-04,1.99E-04,1.75E-04,1.49E-04,1.37E-04,1.28E-04,1.16E-04,1.02E-04,9.42E-05,7.98E-05,7.04E-05,4.74E-05
1890731,46,2,10,53.125,8298.4,24,35,1.4,8,52.425,60.725,107.345,1.506764108,2.988858348,250.6882237,28.3,59.345,29.6,40.6,101,7,0.520458202,3.60E-02,20.06199873,32.52456726,8.212936565,60.79950256,377,160,1.620435697,0.824595703,52.53570637,647.8255799,43.76855703,744.1298433,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.98E-04,1.78E-04,1.52E-04,1.39E-04,1.26E-04,1.18E-04,1.07E-04,9.62E-05,8.27E-05,6.77E-05,4.56E-05
2103913,50,2,10,57.375,8920,21,37,1.4,8,49.425,62.725,105.595,1.388374842,2.981486842,249.7634457,28.3,63.595,26.6,42.6,97,11,0.54332222,6.15E-02,18.29307725,34.96085269,7.389416623,60.64334656,396,162,1.696842856,0.907526917,47.63870878,696.3516066,54.70726022,798.6975756,2.17E-04,2.18E-04,2.18E-04,2.18E-04,2.18E-04,2.18E-04,2.18E-04,2.18E-04,2.18E-04,2.16E-04,2.08E-04,1.74E-04,1.52E-04,1.37E-04,1.29E-04,1.17E-04,1.03E-04,9.06E-05,7.42E-05,4.99E-05,0
3025884,44,2.25,8,57,8201.6,21,45,1.2,8,45.425,66.725,105.22,1.63795594,2.956281124,241.0134457,24.3,63.22,26.6,50.6,93,15,0.534695468,8.61E-02,18.79974963,35.71685718,6.210029694,60.7266365,392,165,1.689999676,0.948783711,49.73321569,711.4097331,52.59642014,813.7393689,2.38E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.37E-04,2.11E-04,1.77E-04,1.55E-04,1.44E-04,1.27E-04,1.11E-04,1.02E-04,9.24E-05,7.50E-05,4.98E-05,0
2000472,46,2.25,9,59.375,8114.4,23,36,1.4,8,49.425,59.725,111.595,1.518470249,2.985817487,256.046631,26.3,65.595,28.6,41.6,102,6,0.52559457,3.08E-02,21.05535148,31.4107671,8.272794627,60.73891321,381,159,1.624907575,0.819414281,54.20077308,625.6408655,44.24006189,724.0817005,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.95E-04,1.75E-04,1.50E-04,1.36E-04,1.23E-04,1.15E-04,1.04E-04,9.37E-05,8.04E-05,6.58E-05,6.58E-05
